,Territorio,ETA1,Value
487,Lombardia,Y22,96156
488,Trentino Alto Adige / Südtirol,Y22,11914
489,Provincia Autonoma Trento,Y22,5674
490,Veneto,Y22,48016
491,Friuli-Venezia Giulia,Y22,10576
492,Emilia-Romagna,Y22,40493
493,Umbria,Y22,7868
494,Marche,Y22,14413
495,Sicilia,Y22,53774
496,Sardegna,Y22,14226
497,Provincia Autonoma Bolzano / Bozen,Y22,6240
498,Toscana,Y22,33054
499,Lazio,Y22,54205
500,Abruzzo,Y22,12361
501,Molise,Y22,3076
502,Campania,Y22,67634
503,Puglia,Y22,43025
504,Basilicata,Y22,5792
505,Calabria,Y22,20035
506,Sicilia,Y23,54051
507,Sardegna,Y23,14499
508,Piemonte,Y23,39449
509,Valle d'Aosta / Vallée d'Aoste,Y23,1216
510,Liguria,Y23,13646
511,Lombardia,Y23,95693
512,Trentino Alto Adige / Südtirol,Y23,11881
513,Provincia Autonoma Bolzano / Bozen,Y23,6155
514,Provincia Autonoma Trento,Y23,5726
515,Veneto,Y23,47568
516,Friuli-Venezia Giulia,Y23,10874
517,Emilia-Romagna,Y23,40409
518,Toscana,Y23,33080
519,Umbria,Y23,7916
520,Marche,Y23,14273
521,Lazio,Y23,54762
522,Abruzzo,Y23,12600
523,Molise,Y23,3077
524,Campania,Y23,68154
525,Puglia,Y23,43236
526,Basilicata,Y23,5865
527,Calabria,Y23,20533
528,Piemonte,Y24,39408
529,Valle d'Aosta / Vallée d'Aoste,Y24,1154
530,Liguria,Y24,13267
531,Lombardia,Y24,94989
532,Trentino Alto Adige / Südtirol,Y24,11603
533,Provincia Autonoma Bolzano / Bozen,Y24,5941
534,Provincia Autonoma Trento,Y24,5662
535,Veneto,Y24,46906
536,Friuli-Venezia Giulia,Y24,10567
537,Emilia-Romagna,Y24,40357
538,Toscana,Y24,32794
539,Umbria,Y24,7907
540,Marche,Y24,14428
541,Lazio,Y24,55343
542,Abruzzo,Y24,12479
543,Molise,Y24,3140
544,Campania,Y24,68102
545,Puglia,Y24,43064
546,Basilicata,Y24,5933
547,Calabria,Y24,20884
548,Sicilia,Y24,54442
549,Sardegna,Y24,14865
550,Piemonte,Y25,39827
551,Valle d'Aosta / Vallée d'Aoste,Y25,1142
552,Liguria,Y25,13350
553,Lombardia,Y25,96291
554,Trentino Alto Adige / Südtirol,Y25,11773
555,Provincia Autonoma Bolzano / Bozen,Y25,6094
556,Provincia Autonoma Trento,Y25,5679
557,Veneto,Y25,47084
558,Friuli-Venezia Giulia,Y25,10592
559,Emilia-Romagna,Y25,41222
560,Toscana,Y25,33081
561,Umbria,Y25,7948
562,Marche,Y25,14308
563,Lazio,Y25,55827
564,Abruzzo,Y25,12992
565,Molise,Y25,3240
566,Campania,Y25,68758
567,Puglia,Y25,43266
568,Basilicata,Y25,6063
569,Calabria,Y25,21328
570,Sicilia,Y25,55493
571,Sardegna,Y25,15035
572,Trentino Alto Adige / Südtirol,Y26,11641
573,Provincia Autonoma Bolzano / Bozen,Y26,5919
574,Provincia Autonoma Trento,Y26,5722
575,Veneto,Y26,47442
576,Friuli-Venezia Giulia,Y26,10761
577,Emilia-Romagna,Y26,41887
578,Toscana,Y26,33652
579,Umbria,Y26,8168
580,Marche,Y26,14600
581,Lazio,Y26,56857
582,Abruzzo,Y26,13374
583,Molise,Y26,3317
584,Campania,Y26,69828
585,Puglia,Y26,44292
586,Basilicata,Y26,6165
587,Calabria,Y26,22144
588,Sicilia,Y26,57091
589,Sardegna,Y26,15499
590,Piemonte,Y26,40479
591,Valle d'Aosta / Vallée d'Aoste,Y26,1136
592,Liguria,Y26,13579
593,Lombardia,Y26,98414
594,Piemonte,Y27,41959
595,Valle d'Aosta / Vallée d'Aoste,Y27,1233
596,Liguria,Y27,14327
597,Lombardia,Y27,102237
598,Trentino Alto Adige / Südtirol,Y27,12080
599,Provincia Autonoma Bolzano / Bozen,Y27,6097
600,Provincia Autonoma Trento,Y27,5983
601,Veneto,Y27,49338
602,Friuli-Venezia Giulia,Y27,11415
603,Emilia-Romagna,Y27,44397
604,Toscana,Y27,35574
605,Umbria,Y27,8604
606,Marche,Y27,15201
607,Lazio,Y27,59566
608,Abruzzo,Y27,13928
609,Molise,Y27,3427
610,Campania,Y27,72654
611,Puglia,Y27,46038
612,Basilicata,Y27,6635
613,Calabria,Y27,22754
614,Sicilia,Y27,59222
615,Sardegna,Y27,16153
616,Piemonte,Y28,42306
617,Valle d'Aosta / Vallée d'Aoste,Y28,1196
618,Liguria,Y28,14093
619,Lombardia,Y28,103414
620,Trentino Alto Adige / Südtirol,Y28,12075
621,Provincia Autonoma Bolzano / Bozen,Y28,6218
622,Veneto,Y28,49235
623,Abruzzo,Y28,13842
624,Molise,Y28,3396
625,Campania,Y28,71820
626,Puglia,Y28,45130
627,Basilicata,Y28,6473
628,Calabria,Y28,22573
629,Sicilia,Y28,58164
630,Sardegna,Y28,16480
631,Provincia Autonoma Trento,Y28,5857
632,Friuli-Venezia Giulia,Y28,11561
633,Emilia-Romagna,Y28,44978
634,Toscana,Y28,35477
635,Umbria,Y28,8484
636,Marche,Y28,15155
637,Lazio,Y28,59161
638,Basilicata,Y29,6707
639,Calabria,Y29,23144
640,Piemonte,Y29,43501
641,Valle d'Aosta / Vallée d'Aoste,Y29,1268
642,Liguria,Y29,14200
643,Lombardia,Y29,106567
644,Trentino Alto Adige / Südtirol,Y29,12174
645,Provincia Autonoma Bolzano / Bozen,Y29,6242
646,Provincia Autonoma Trento,Y29,5932
647,Veneto,Y29,50365
648,Friuli-Venezia Giulia,Y29,11698
649,Emilia-Romagna,Y29,46319
650,Toscana,Y29,37254
651,Umbria,Y29,8722
652,Marche,Y29,15551
653,Lazio,Y29,61170
654,Abruzzo,Y29,14063
655,Molise,Y29,3342
656,Sicilia,Y29,58539
657,Sardegna,Y29,17026
658,Campania,Y29,71252
659,Puglia,Y29,44931
660,Lombardia,Y30,107554
661,Trentino Alto Adige / Südtirol,Y30,12025
662,Provincia Autonoma Bolzano / Bozen,Y30,6158
663,Provincia Autonoma Trento,Y30,5867
664,Veneto,Y30,50132
665,Friuli-Venezia Giulia,Y30,11701
666,Emilia-Romagna,Y30,46150
667,Toscana,Y30,36930
668,Umbria,Y30,8918
669,Marche,Y30,15367
670,Lazio,Y30,61510
671,Abruzzo,Y30,14136
672,Molise,Y30,3349
673,Campania,Y30,70782
674,Puglia,Y30,44417
675,Basilicata,Y30,6498
676,Calabria,Y30,23414
677,Sicilia,Y30,58537
678,Sardegna,Y30,16982
679,Liguria,Y30,14198
680,Piemonte,Y30,42914
681,Valle d'Aosta / Vallée d'Aoste,Y30,1238
682,Trentino Alto Adige / Südtirol,Y31,12092
683,Provincia Autonoma Bolzano / Bozen,Y31,6097
684,Liguria,Y31,14540
685,Valle d'Aosta / Vallée d'Aoste,Y31,1281
686,Veneto,Y31,51262
687,Lombardia,Y31,110812
688,Friuli-Venezia Giulia,Y31,12010
689,Provincia Autonoma Trento,Y31,5995
690,Emilia-Romagna,Y31,46883
691,Toscana,Y31,38395
692,Umbria,Y31,9336
693,Marche,Y31,15725
694,Lazio,Y31,63705
695,Abruzzo,Y31,14409
696,Molise,Y31,3386
697,Campania,Y31,71677
698,Puglia,Y31,45508
699,Basilicata,Y31,6504
700,Calabria,Y31,23922
701,Sicilia,Y31,58784
702,Sardegna,Y31,17235
703,Piemonte,Y31,44185
704,Valle d'Aosta / Vallée d'Aoste,Y32,1241
705,Liguria,Y32,14198
706,Lombardia,Y32,109093
707,Trentino Alto Adige / Südtirol,Y32,11897
708,Provincia Autonoma Bolzano / Bozen,Y32,5920
709,Veneto,Y32,49585
